,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
11,GJ 1028,16.22418,-18.12462,dM5.0,3154,5.14,-0.02,Schw2019,51.0,0.07,0.16
12,Gl 54.1,18.12765,-16.99899,dM4.5,3151,5.17,-0.18,Schw2019,51.0,0.07,0.16
13,LP 768-113,23.49167,-17.63995,dM4.0,3349,5.06,-0.11,Schw2019,51.0,0.07,0.16
14,Gl 70,25.83408,4.32166,dM2.0,3532,4.91,-0.09,Schw2019,51.0,0.07,0.16
15,GJ 3117A,27.96305,64.43498,dM2.5,3555,4.9,-0.08,Schw2019,51.0,0.07,0.16
16,Gl 83.1,30.05398,13.05195,dM3.5,3193,5.15,-0.19,Schw2019,51.0,0.07,0.16
17,GJ 3126,30.39725,63.77,dM3.0,3489,4.93,-0.05,Schw2019,51.0,0.07,0.16
18,G 173-037,31.76607,49.64541,dM3.5,3419,5.01,-0.12,Schw2019,51.0,0.07,0.16
19,GJ 3136,32.22343,49.44901,dM3.5,3315,5.08,-0.11,Schw2019,51.0,0.07,0.16
20,Gl 87,33.08745,3.57562,dM1.5,3663,4.81,-0.05,Schw2019,51.0,0.07,0.16
21,Gl 96,35.56102,47.88003,dM0.5,3935,4.67,0.07,Schw2019,51.0,0.07,0.16
22,Gl 102,38.4049,24.92714,dM4.0,3283,5.09,-0.09,Schw2019,51.0,0.07,0.16
23,Gl 104,38.97211,20.21988,dM2.0,3585,4.89,-0.13,Schw2019,51.0,0.07,0.16
24,Gl 105B,39.06361,6.87165,dM4.0,3327,5.03,0.05,Schw2019,51.0,0.07,0.16
25,Gl 109,41.06462,25.52337,dM3.0,3472,4.95,-0.06,Schw2019,51.0,0.07,0.16
26,RBS 365,42.97541,22.45832,dM4.0,3344,5.03,0.03,Schw2019,51.0,0.07,0.16
27,Teegarden's Star,43.25371,16.88129,dM7.0,2904,5.26,-0.19,Schw2019,51.0,0.07,0.16
28,Gl 119A,44.14344,55.43725,dM1.0,3896,4.66,0.18,Schw2019,51.0,0.07,0.16
29,GJ 1057,48.34549,4.77482,dM5.0,3204,5.11,0.04,Schw2019,51.0,0.07,0.16
30,Gl 134,49.53117,38.25207,dM1.5,3861,4.66,0.2,Schw2019,51.0,0.07,0.16
31,Gl 133,50.34075,79.96727,dM2.0,3549,4.93,-0.18,Schw2019,51.0,0.07,0.16
32,GJ 3218,50.44551,-6.67339,dM2.0,3555,4.92,-0.15,Schw2019,51.0,0.07,0.16
33,Gl 154,56.58392,26.21551,dM0.0,3993,4.65,0.12,Schw2019,51.0,0.07,0.16
34,G 080-021,56.84725,-1.97221,dM3.0,3411,5.03,-0.17,Schw2019,51.0,0.07,0.16
35,Ross 567,58.29348,62.56891,dM3.0,3488,4.93,-0.04,Schw2019,51.0,0.07,0.16
36,K2-155,65.46869,21.35359,dM0.0,3940,4.76,-0.33,Schw2019,51.0,0.07,0.16
37,LSPM J0422+1031,65.63328,10.52189,dM3.5,3445,4.95,0.0,Schw2019,51.0,0.07,0.16
38,Gl 169,67.25052,21.9227,dM0.5,4199,4.59,0.23,Schw2019,51.0,0.07,0.16
39,Gl 173,69.42444,-11.03888,dM1.5,3621,4.85,-0.07,Schw2019,51.0,0.07,0.16
40,Gl 172,69.42054,52.89361,dM0.0,4034,4.68,-0.09,Schw2019,51.0,0.07,0.16
41,Gl 176,70.7324,18.95816,dM2.0,3574,4.89,-0.1,Schw2019,51.0,0.07,0.16
42,2MASS J04425586+2128230,70.73276,21.47304,dM3.5,3437,4.97,-0.03,Schw2019,51.0,0.07,0.16
43,RX J0447.2+2038,71.80104,20.63633,dM5.0,3146,5.12,0.06,Schw2019,51.0,0.07,0.16
44,Gl 179,73.02388,6.47655,dM3.5,3393,5.0,0.01,Schw2019,51.0,0.07,0.16
45,Gl 180,73.45825,-17.77342,dM2.0,3572,4.9,-0.12,Schw2019,51.0,0.07,0.16
46,Gl 181,74.71073,49.84929,dM0.0,4022,4.65,0.09,Schw2019,51.0,0.07,0.16
47,1RXS J050156.7+010845,75.48608,1.14525,dM4.0,3225,5.13,-0.15,Schw2019,51.0,0.07,0.16
48,GJ 3323,75.48928,-6.94621,dM4.0,3288,5.07,0.01,Schw2019,51.0,0.07,0.16
49,GJ 3325,75.83368,-17.37353,dM3.0,3409,5.02,-0.11,Schw2019,51.0,0.07,0.16
50,RX J0506.2+0439,76.55386,4.65755,dM4.0,3320,5.06,-0.04,Schw2019,51.0,0.07,0.16
51,Gl 192,78.17594,19.66565,dM2.0,3582,4.9,-0.13,Schw2019,51.0,0.07,0.16
52,Gl 203,82.00063,9.64393,dM3.5,3362,5.03,-0.05,Schw2019,51.0,0.07,0.16
53,Gl 205,82.86415,-3.67723,dM1.5,3891,4.64,0.23,Schw2019,51.0,0.07,0.16
54,Gl 207.1,83.43667,1.9454,dM2.5,3419,5.05,-0.29,Schw2019,51.0,0.07,0.16
55,GJ 3356,83.71715,13.87964,dM3.5,3421,4.98,-0.01,Schw2019,51.0,0.07,0.16
56,GJ 3357,84.00033,-7.64956,dM4.0,3380,4.99,0.08,Schw2019,51.0,0.07,0.16
57,Gl 208,84.12913,11.32787,dM0.0,4074,4.65,0.05,Schw2019,51.0,0.07,0.16
58,2MASS J05363846+1117487,84.16026,11.29688,dM4.0,3315,5.08,-0.14,Schw2019,51.0,0.07,0.16
59,Gl 212,85.37804,53.4898,dM1.0,3875,4.69,0.08,Schw2019,51.0,0.07,0.16
60,Gl 213,85.53861,12.48934,dM4.0,3311,5.05,0.01,Schw2019,51.0,0.07,0.16
61,GJ 3379,90.0146,2.70655,dM4.0,3284,5.1,-0.12,Schw2019,51.0,0.07,0.16
